question,answer
"What is a mineral?","A solid, naturally occurring inorganic substance."
"What are minerals?","Minerals are naturally occurring, inorganic solids with a definite chemical composition and a crystal structure."
"How many minerals are there?","There are more than 10,000 different minerals on earth."
"How are minerals classified?","They're classified by their chemical composition and crystal structure."
"What is the most common mineral group?","Silicates are the most common mineral group."
"What is the hardest mineral?","Diamond is the hardest mineral."
"What is refractive index?", "The measure of the change in the speed of light as it passed from a vaccume into the material."
"What is moss hardness?","a measure of its relative resistance to scratching."
"What is density?","The mass of a substance per unit volume."
"What is diaphanetiy?","The ability of a mineral to transmit light."
"What is crystal structure?","The arrangement of atoms in a crystal."
"What is optical property?","The way a mineral interacts with light."
"What is quartz?","Quartz is a mineral composed of silicon and oxygen atoms in a continuous framework of SiO4 siliconâ€“oxygen tetrahedra, with each oxygen being shared between two tetrahedra, giving an overall chemical formula of SiO2."
"What is the most common mineral?","Quartz is the most common mineral."
"What is the softest mineral?","Talc is the softest mineral."
"What is the most abundant mineral?","Feldspar is the most abundant mineral."
"What is the most valuable mineral?","Diamond is the most valuable mineral."
"What is the most magnetic mineral?","Magnetite is the most magnetic mineral."
"What is the most radioactive mineral?","Uraninite is the most radioactive mineral."
